"","date","mean_daily_sentiment","total_tweets","total_tweets_incl_retweets"
"307",2018-08-03,-0.0209345700176188,2442,2940
"308",2018-08-04,-0.012520266701395,1315,1621
"309",2018-08-05,-0.00305596332931731,1557,1991
"310",2018-08-06,-0.00590136906648997,1925,2281
"311",2018-08-07,0.000724809580017601,1885,2151
"312",2018-08-08,0.00746841314189012,1805,2144
"313",2018-08-09,-0.00539452806337024,2778,4038
"314",2018-08-10,-0.0202582816999698,2624,4020
"315",2018-08-11,-0.00811572118717513,1435,2158
"316",2018-08-12,-0.0217224266280862,1571,1948
"317",2018-08-13,-0.00936107011551244,2245,2957
"318",2018-08-14,-0.0110637741681086,2437,3031
"319",2018-08-15,-0.0160538311130809,2465,2868
"320",2018-08-16,-0.0274582836310221,1987,2354
"321",2018-08-17,-0.0284769478658074,1710,2330
"322",2018-08-18,-0.024708775942295,1479,1617
"323",2018-08-19,-0.0314136686824446,1317,1509
"324",2018-08-20,-0.0714407075645761,7122,8935
"325",2018-08-21,-0.0617537614769571,4763,5475
"326",2018-08-22,-0.0435112837007869,3082,3386
"327",2018-08-23,-0.0267709875988259,3254,3551
"328",2018-08-24,-0.0310480282863113,2268,2581
"329",2018-08-25,-0.0178064027507053,1772,2056
"330",2018-08-26,0.00109399477876564,1395,1529
"331",2018-08-27,-0.0134834791968289,1847,2004
"332",2018-08-28,-0.0225483973357529,3209,3680
"333",2018-08-29,-0.0110245707620533,2646,2803
"334",2018-08-30,-0.010389268779119,2651,2805
"335",2018-08-31,-0.0242964958044047,2134,2247
"336",2018-09-01,-0.0243834103603408,2353,5268
"337",2018-09-02,-0.0110681155800674,1957,3439
"338",2018-09-03,-0.00749597591563331,1743,2632
"339",2018-09-04,-0.00918381730763274,2068,2360
"340",2018-09-05,-0.0140863404649329,2037,2459
"341",2018-09-06,0.00261699776115109,2019,2403
"342",2018-09-07,-0.00561319950708039,2004,2330
"343",2018-09-08,-0.0100421676084198,1522,1683
"344",2018-09-09,-0.025292521408075,2155,2446
"345",2018-09-10,0.00803326691895491,3722,4649
"346",2018-09-11,-0.00343118467506132,2556,3005
"347",2018-09-12,-0.0284964850302854,3312,4159
"348",2018-09-13,-0.0254449617167663,3575,4180
"349",2018-09-14,-0.0253782843660499,4084,4488
"350",2018-09-15,-0.023750907351188,2819,3438
"351",2018-09-16,-0.0275081701654186,6527,7431
"352",2018-09-17,-0.0340724094225655,17254,18991
"353",2018-09-18,-0.0356563560441493,12860,14018
"354",2018-09-19,-0.039278256197956,12406,14051
"355",2018-09-20,-0.0256149077139284,11672,12688
"356",2018-09-21,-0.0412170368430503,13723,16228
"357",2018-09-22,-0.0345559118808335,10408,11592
"358",2018-09-23,-0.0319658126885545,8724,9933
"359",2018-09-24,-0.0351377202675908,14463,15798
"360",2018-09-25,-0.0322306970976631,12542,13655
"361",2018-09-26,-0.0312081078561038,13712,14767
"362",2018-09-27,-0.0147988252310865,26866,31108
"363",2018-09-28,-0.0183272568894438,21855,23378
"364",2018-09-29,-0.0126417818305309,10359,11309
"365",2018-09-30,-0.015004885738082,8661,9054
"366",2018-10-01,-0.0247478178661884,8826,12867
"367",2018-10-02,-0.0335848131031053,8534,10461
"368",2018-10-03,-0.043996946523576,10707,12609
"369",2018-10-04,-0.024248369311566,11920,13392
"370",2018-10-05,-0.0121588760120915,18476,20712
"371",2018-10-06,-0.016745184137019,15361,16665
"372",2018-10-07,-0.0221747000320478,11715,13023
"373",2018-10-08,-0.0202909543707998,14653,16597
"374",2018-10-09,-0.0185504484774669,20307,22355
"375",2018-10-10,-0.0216781755457956,19217,21889
"376",2018-10-11,-0.0221384143704247,18599,21410
"377",2018-10-12,-0.0133574132513016,18254,20335
"378",2018-10-13,-0.0134183432822677,14501,16136
"379",2018-10-14,-0.0267800447255875,16443,18219
"380",2018-10-15,-0.0183360985867897,15752,17408
"381",2018-10-16,-0.00521778488123052,13163,14658
"382",2018-10-17,-0.019501803087703,13000,14489
"383",2018-10-18,-0.0244551125257109,10019,11345
"384",2018-10-19,-0.0175161471919587,7205,8065
"385",2018-10-20,-0.0157227419466094,5435,7698
"386",2018-10-21,-0.0213147361919041,5777,6617
"387",2018-10-22,-0.0133760532192413,5982,6568
"388",2018-10-23,0.00342580723053889,6277,7710
"389",2018-10-24,-0.00356869260840546,6317,7598
"390",2018-10-25,-0.0257777422392809,6635,8424
"391",2018-10-26,-0.0144310397029417,5270,6408
"392",2018-10-27,-0.0151774628604643,3684,5179
"393",2018-10-28,0.00167558434339828,2859,3238
"394",2018-10-29,-0.0170722171990389,3716,4092
"395",2018-10-30,-0.0187107297293952,3713,4057
"396",2018-10-31,-0.0195728429536936,3532,3965
"397",2018-11-01,-0.0104574700057072,4018,8099
"398",2018-11-02,-0.00223311674350934,4771,7044
"399",2018-11-03,-0.0324284487906593,3085,3989
"400",2018-11-04,-0.0157260508399176,2570,3161
"401",2018-11-05,0.00395812444030334,2884,3569
"402",2018-11-06,0.000914882933763974,2988,3602
"403",2018-11-07,-0.00926560573757708,3317,3928
"404",2018-11-08,-0.0319595704705233,4724,5157
"405",2018-11-09,-0.000207330727214929,2781,3132
"406",2018-11-10,-0.00579528672885588,2236,2461
"407",2018-11-11,-0.0103963638166313,1646,2008
"408",2018-11-12,-0.00202490741471909,2422,2632
"409",2018-11-13,-0.0125184924517327,2735,2954
"410",2018-11-14,-0.0220751885067474,2609,2835
"411",2018-11-15,-0.0293224050156358,3297,3473
"412",2018-11-16,-0.0108202897522332,2543,2787
"413",2018-11-17,-0.0220521370016216,1824,2037
"414",2018-11-18,-0.0175928112027973,1703,1990
"415",2018-11-19,-0.0128456936686651,2336,2631
"416",2018-11-20,-0.0197722910669733,2255,2509
"417",2018-11-21,-0.0259183332215984,2248,2634
"418",2018-11-22,0.00118434468390864,1713,2043
"419",2018-11-23,-0.00795530751898864,1352,1709
"420",2018-11-24,-0.0209480645785704,1291,1461
"421",2018-11-25,-0.0213309506319869,1513,1642
"422",2018-11-26,-0.0159120950686876,1957,2102
"423",2018-11-27,-0.000338717411959047,1906,2065
"424",2018-11-28,0.00342575092193698,2093,2314
"425",2018-11-29,-0.000848733263892422,2372,2568
"426",2018-11-30,0.00268778672673336,2602,2794
"427",2018-12-01,-0.02088971538684,3320,6816
"428",2018-12-02,-0.0239537079981649,2591,4205
"429",2018-12-03,-0.0255963724960971,3296,5119
"430",2018-12-04,-0.0249741791733932,3903,4724
"431",2018-12-05,-0.0168314187547651,3197,3808
"432",2018-12-06,-0.0216000927258623,3202,3704
"433",2018-12-07,-0.0194657283384503,2827,3292
"434",2018-12-08,-0.0241882064533642,1992,2457
"435",2018-12-09,-0.0127622729037906,1698,1916
"436",2018-12-10,-0.00238444465505471,2097,2445
"437",2018-12-11,-0.00415273032871654,2420,2855
